department_id,department_name,error_reason,employee_id,employee_name,hire_date,termination_date,gender,attendance_id,attendance_date,hours_worked
8.0,,Duplicate Employee,49.0,Toni Torres,2023-08-30,,M,,,
15.0,,Duplicate Employee,50.0,Andrea Miller,2025-03-03,,F,,,
9.0,,Duplicate Employee,27.0,Betty Harris,2023-10-16,,M,,,
25.0,,Orphan Department,4.0,Michele White,2023-09-30,,F,,,
25.0,,Orphan Department,20.0,Megan Burgess,2022-11-17,2025-02-20,F,,,
22.0,,Orphan Department,22.0,Adam Gonzalez,2019-03-29,,,,,
23.0,,Orphan Department,26.0,Jennifer Glenn,2018-08-11,,,,,
22.0,,Orphan Department,27.0,Bradley Thomas,2023-01-04,,,,,
24.0,,Orphan Department,30.0,Charles Brown,2026-01-13,,M,,,
22.0,,Orphan Department,36.0,Mrs. Jessica Thomas DDS,2019-02-28,,,,,
13.0,,Orphan Department,42.0,Cynthia Gomez,2019-12-02,,,,,
23.0,,Orphan Department,45.0,Daniel Brown,2019-09-05,,F,,,
13.0,,Orphan Department,46.0,Phillip Mahoney,2021-11-06,,,,,
21.0,,Orphan Department,61.0,John Chen,2019-10-12,2024-01-16,F,,,
25.0,,Orphan Department,66.0,Maurice David,2022-10-08,,F,,,
24.0,,Orphan Department,67.0,Mary Stanley,2019-10-25,2023-04-18,M,,,
23.0,,Orphan Department,74.0,James Richardson,2017-02-18,,F,,,
22.0,,Orphan Department,75.0,Jay Rocha,2023-03-31,2024-05-02,M,,,
25.0,,Orphan Department,79.0,Casey Dalton,2020-08-04,,M,,,
24.0,,Orphan Department,86.0,George Johnson,2023-02-25,,F,,,
23.0,,Orphan Department,88.0,Alicia Romero,2019-10-24,,F,,,
22.0,,Orphan Department,91.0,Michelle Cobb,2019-10-11,,M,,,
13.0,,Orphan Department,98.0,Alexis Martinez,2016-11-25,,,,,
22.0,,Orphan Department,108.0,Kristen Knapp,2026-05-30,,F,,,
21.0,,Orphan Department,111.0,David Riggs,2017-03-01,,M,,,
13.0,,Orphan Department,114.0,Virginia Ray,2018-12-08,2023-07-16,,,,
23.0,,Orphan Department,115.0,Ray Gilmore,2024-12-28,,M,,,
21.0,,Orphan Department,117.0,Robin Hernandez,2025-07-31,,M,,,
25.0,,Orphan Department,123.0,Christopher Cohen,2025-09-12,,M,,,
22.0,,Orphan Department,125.0,Matthew Baird,2019-04-23,,F,,,
21.0,,Orphan Department,127.0,Matthew Park,2025-07-10,,,,,
13.0,,Orphan Department,131.0,Hannah Guzman,2025-08-21,,,,,
23.0,,Orphan Department,139.0,Leslie Simpson,2024-10-24,,M,,,
25.0,,Orphan Department,151.0,Patty King,2022-09-29,,M,,,
23.0,,Orphan Department,156.0,Scott Jimenez,2018-12-05,,M,,,
21.0,,Orphan Department,159.0,Desiree Mcdaniel,2016-08-28,,F,,,
23.0,,Orphan Department,164.0,Ellen Powell,2019-08-30,,,,,
22.0,,Orphan Department,177.0,Lauren Cook,2024-10-19,,M,,,
21.0,,Orphan Department,179.0,Pamela Mccarty,2023-02-09,,,,,
22.0,,Orphan Department,182.0,Jasmine Gonzales,2026-01-21,,,,,
25.0,,Orphan Department,183.0,Anthony Farrell,2024-01-10,,F,,,
21.0,,Orphan Department,184.0,Joseph Sandoval,2022-11-26,,F,,,
13.0,,Orphan Department,189.0,Alejandra Curtis,2018-07-28,,M,,,
22.0,,Orphan Department,191.0,Michael Shea,2022-03-04,,,,,
22.0,,Orphan Department,193.0,Cindy Hill,2022-04-19,,M,,,
13.0,,Orphan Department,199.0,Kenneth Chavez,2020-05-08,,F,,,
24.0,,Orphan Department,210.0,Crystal Herrera,2021-12-16,,M,,,
24.0,,Orphan Department,211.0,Ashley Bell,2018-04-24,,F,,,
25.0,,Orphan Department,215.0,Julie Lewis,2017-06-18,,F,,,
24.0,,Orphan Department,216.0,Carl Hunt,2023-05-27,2025-10-18,F,,,
23.0,,Orphan Department,220.0,Craig Barnett,2023-10-19,,M,,,
21.0,,Orphan Department,222.0,Rodney Ortiz,2023-12-09,,M,,,
13.0,,Orphan Department,224.0,Jennifer Gordon,2024-11-26,,,,,
24.0,,Orphan Department,233.0,Eric Bryant,2017-12-21,2020-08-09,,,,
23.0,,Orphan Department,235.0,Charles Jackson,2019-11-29,,M,,,
25.0,,Orphan Department,236.0,Lisa Cannon,2026-02-28,,M,,,
24.0,,Orphan Department,243.0,Megan Hanson,2017-07-24,,,,,
23.0,,Orphan Department,247.0,Douglas Jones,2020-05-20,,,,,
25.0,,Orphan Department,249.0,Sandra Powell,2023-02-18,2025-01-15,M,,,
22.0,,Orphan Department,257.0,Colleen Ross,2024-05-03,,M,,,
13.0,,Orphan Department,262.0,Kara Horne,2020-05-25,,,,,
23.0,,Orphan Department,266.0,Samantha Holloway,2024-09-03,,,,,
24.0,,Orphan Department,269.0,Thomas Lewis,2024-09-25,,M,,,
24.0,,Orphan Department,276.0,David Williams MD,2020-12-02,,,,,
22.0,,Orphan Department,285.0,Stephanie Carter,2025-01-28,,F,,,
22.0,,Orphan Department,292.0,Fernando Armstrong,2021-02-27,,,,,
13.0,,Orphan Department,294.0,David Clark,2019-01-05,,M,,,
22.0,,Orphan Department,299.0,Nicholas Brooks,2020-04-26,,F,,,
22.0,,Orphan Department,302.0,Lisa Horne,2021-04-05,,F,,,
22.0,,Orphan Department,303.0,Christine Quinn,2019-04-17,,M,,,
24.0,,Orphan Department,304.0,Sally Kaufman,2025-02-05,,F,,,
13.0,,Orphan Department,309.0,Paula Miles,2024-07-21,,,,,
24.0,,Orphan Department,311.0,Jennifer Olsen,2025-07-26,,M,,,
25.0,,Orphan Department,314.0,Veronica Yates,2025-12-23,,F,,,
13.0,,Orphan Department,321.0,Dennis Nelson,2019-10-01,2021-01-25,,,,
23.0,,Orphan Department,324.0,Jessica Moses,2017-01-20,,,,,
22.0,,Orphan Department,328.0,Richard Johnson,2025-03-01,2026-03-23,,,,
22.0,,Orphan Department,331.0,Sydney Carlson,2025-08-17,,M,,,
13.0,,Orphan Department,335.0,Alicia Crawford,2024-07-06,,,,,
23.0,,Orphan Department,336.0,Jack Garcia,2017-08-21,,F,,,
25.0,,Orphan Department,337.0,Allison Cox,2020-03-14,,,,,
13.0,,Orphan Department,338.0,Mackenzie Nguyen,2017-05-24,,F,,,
23.0,,Orphan Department,340.0,Valerie Bryant,2024-02-18,,M,,,
13.0,,Orphan Department,345.0,Jamie Leon,2016-09-08,,,,,
22.0,,Orphan Department,349.0,Jesse Peters,2023-03-29,,,,,
23.0,,Orphan Department,354.0,Anthony Torres,2018-05-03,,F,,,
21.0,,Orphan Department,356.0,Jessica Morgan,2019-06-26,2021-09-26,M,,,
23.0,,Orphan Department,362.0,Kyle Powers,2018-05-12,,,,,
23.0,,Orphan Department,369.0,Charles Evans,2024-06-11,,,,,
22.0,,Orphan Department,382.0,Albert Lewis,2018-05-16,2019-09-17,F,,,
25.0,,Orphan Department,383.0,David Ashley,2019-05-26,,M,,,
13.0,,Orphan Department,386.0,Joseph Peterson,2019-07-01,,,,,
13.0,,Orphan Department,388.0,Samantha Perez,2020-09-14,,M,,,
23.0,,Orphan Department,390.0,Robert Johns,2025-10-13,,F,,,
25.0,,Orphan Department,393.0,John Alexander,2021-01-09,,M,,,
25.0,,Orphan Department,397.0,Matthew Smith,2023-07-29,2026-02-23,M,,,
23.0,,Orphan Department,402.0,Brandon Navarro,2025-09-18,,M,,,
25.0,,Orphan Department,405.0,Joshua Kennedy,2025-12-07,,M,,,
13.0,,Orphan Department,410.0,Leslie Soto,2020-07-20,,F,,,
25.0,,Orphan Department,421.0,Vanessa Young,2023-08-10,2024-10-09,F,,,
13.0,,Orphan Department,437.0,Miguel Bauer,2017-07-23,,F,,,
22.0,,Orphan Department,438.0,Gregory Richardson,2018-08-03,,M,,,
21.0,,Orphan Department,442.0,Lauren Smith,2019-06-21,,M,,,
23.0,,Orphan Department,448.0,Steven Flynn,2022-12-06,,,,,
24.0,,Orphan Department,450.0,Nicole Brown,2017-11-13,,F,,,
21.0,,Orphan Department,461.0,Jasmine Mason,2018-01-06,,M,,,
22.0,,Orphan Department,462.0,Robert Cooper,2022-07-03,,,,,
25.0,,Orphan Department,465.0,Mrs. Terry Robinson MD,2024-11-19,,,,,
25.0,,Orphan Department,468.0,Joshua Guerra,2019-09-06,,,,,
13.0,,Orphan Department,470.0,Alison Petersen DVM,2021-07-26,,,,,
23.0,,Orphan Department,471.0,Emily Stephens,2022-09-11,,,,,
13.0,,Orphan Department,474.0,Kimberly Kirk,2018-05-13,,,,,
22.0,,Orphan Department,477.0,Sarah Smith DDS,2025-11-16,,,,,
21.0,,Orphan Department,479.0,Joseph Taylor,2025-10-22,,,,,
22.0,,Orphan Department,484.0,Theresa Callahan,2023-08-05,,M,,,
21.0,,Orphan Department,485.0,Heather Mckee,2023-12-16,,F,,,
13.0,,Orphan Department,487.0,Stacy Alvarez,2019-02-11,,,,,
24.0,,Orphan Department,488.0,April Harvey,2022-02-26,,M,,,
21.0,,Orphan Department,493.0,Jean Gordon,2022-01-19,,F,,,
22.0,,Orphan Department,495.0,Edward Marshall,2025-06-12,,,,,
22.0,,Orphan Department,501.0,Tyler Martin,2020-08-22,,M,,,
23.0,,Orphan Department,505.0,Michael Jackson,2023-07-10,,M,,,
24.0,,Orphan Department,508.0,Shawna Rogers,2018-08-26,,M,,,
25.0,,Orphan Department,516.0,George Cooper,2021-04-16,,,,,
25.0,,Orphan Department,518.0,Renee Powers,2019-03-14,,M,,,
23.0,,Orphan Department,524.0,Michael Vasquez,2025-10-29,,M,,,
25.0,,Orphan Department,526.0,Tina Marks,2025-12-30,,M,,,
23.0,,Orphan Department,529.0,Mark Brown,2023-02-04,,M,,,
25.0,,Orphan Department,533.0,Brooke Pace,2026-05-25,,F,,,
23.0,,Orphan Department,536.0,Kathleen Hartman,2020-09-03,,M,,,
25.0,,Orphan Department,537.0,Stephen Castro,2025-02-23,,F,,,
13.0,,Orphan Department,544.0,Laura Nelson,2025-12-15,,F,,,
22.0,,Orphan Department,548.0,Leah Jones,2024-09-16,,F,,,
21.0,,Orphan Department,552.0,Amber Lewis,2020-01-03,,M,,,
23.0,,Orphan Department,556.0,Rebecca Marquez,2018-01-30,,,,,
13.0,,Orphan Department,558.0,Thomas Miller,2023-10-04,,,,,
23.0,,Orphan Department,559.0,Melissa Beasley MD,2022-09-20,,M,,,
22.0,,Orphan Department,560.0,Leah Goodman,2020-07-24,,,,,
23.0,,Orphan Department,562.0,Brandon Jenkins,2022-11-23,,M,,,
22.0,,Orphan Department,563.0,Daniel Rhodes,2019-08-28,2022-08-02,F,,,
21.0,,Orphan Department,570.0,Omar Ortega,2020-02-15,,,,,
21.0,,Orphan Department,572.0,Eugene Meyer,2023-12-22,,F,,,
13.0,,Orphan Department,584.0,Bill Vincent,2024-08-27,,F,,,
25.0,,Orphan Department,587.0,David Vazquez,2018-02-15,,M,,,
13.0,,Orphan Department,592.0,Justin Johnston,2022-01-03,2024-03-26,F,,,
24.0,,Orphan Department,596.0,Christopher Murray,2019-10-19,,M,,,
22.0,,Orphan Department,597.0,Victoria Silva,2017-06-06,,F,,,
21.0,,Orphan Department,598.0,Nancy Smith,2019-06-21,,,,,
25.0,,Orphan Department,603.0,Rhonda Wallace,2022-01-13,,F,,,
23.0,,Orphan Department,609.0,Chelsea Hamilton,2023-02-28,,F,,,
24.0,,Orphan Department,614.0,Misty Chavez MD,2024-12-17,,,,,
23.0,,Orphan Department,618.0,Joseph Steele,2026-01-11,,F,,,
23.0,,Orphan Department,619.0,Megan Price,2019-06-03,,F,,,
24.0,,Orphan Department,622.0,Suzanne Silva,2016-11-10,,,,,
25.0,,Orphan Department,626.0,Carol Washington,2025-12-29,,,,,
22.0,,Orphan Department,627.0,Jermaine James,2017-12-26,,M,,,
25.0,,Orphan Department,639.0,Travis Campbell,2017-05-31,,,,,
23.0,,Orphan Department,650.0,Brittany Klein,2022-07-03,,,,,
21.0,,Orphan Department,651.0,Eric Smith,2018-08-19,,,,,
22.0,,Orphan Department,655.0,Holly Tanner,2022-12-01,,M,,,
21.0,,Orphan Department,667.0,Robert Lopez,2024-05-12,,,,,
23.0,,Orphan Department,673.0,James Mckinney,2024-01-04,,F,,,
23.0,,Orphan Department,675.0,Carla Murillo,2021-04-29,2025-07-15,,,,
23.0,,Orphan Department,676.0,Andrea Parker,2019-11-15,,,,,
23.0,,Orphan Department,677.0,Andrea Russell,2023-11-25,2026-01-04,F,,,
13.0,,Orphan Department,698.0,Hannah Hamilton,2018-04-15,,F,,,
25.0,,Orphan Department,707.0,Kelly Thompson,2018-07-28,,F,,,
23.0,,Orphan Department,718.0,Scott Daniels,2017-06-13,,F,,,
23.0,,Orphan Department,723.0,Charles White,2020-08-25,,,,,
25.0,,Orphan Department,727.0,Shelly Rogers,2025-02-27,,M,,,
13.0,,Orphan Department,729.0,Anthony Parker,2021-04-20,,M,,,
13.0,,Orphan Department,735.0,Jane Jones,2017-04-06,,M,,,
13.0,,Orphan Department,736.0,Alisha Smith,2017-11-19,,,,,
13.0,,Orphan Department,738.0,Denise Williams,2018-12-03,,M,,,
21.0,,Orphan Department,746.0,Zachary Anthony,2022-04-25,,,,,
13.0,,Orphan Department,751.0,Stacey Watson,2022-11-28,,,,,
22.0,,Orphan Department,752.0,Alisha Lee,2017-04-13,,,,,
22.0,,Orphan Department,753.0,Aaron Fisher,2019-10-18,2022-06-07,F,,,
23.0,,Orphan Department,757.0,Charles Rivas,2021-08-06,,,,,
25.0,,Orphan Department,762.0,Christopher Turner,2024-10-29,,M,,,
21.0,,Orphan Department,763.0,Deborah Lane,2019-05-27,2022-03-26,,,,
22.0,,Orphan Department,764.0,Patrick Myers,2025-10-18,,M,,,
21.0,,Orphan Department,770.0,Dr. Amanda Hart MD,2026-04-23,,F,,,
23.0,,Orphan Department,771.0,Justin Rose,2025-03-12,,M,,,
23.0,,Orphan Department,772.0,Jessica Clark,2021-02-10,,M,,,
24.0,,Orphan Department,774.0,Jessica Cole,2020-06-22,,F,,,
24.0,,Orphan Department,784.0,Nicole Tucker MD,2025-02-01,,M,,,
24.0,,Orphan Department,790.0,Juan Wilson,2022-07-10,,F,,,
13.0,,Orphan Department,793.0,Sherry Kline,2025-10-09,,,,,
23.0,,Orphan Department,795.0,Seth Melendez,2017-08-23,,M,,,
22.0,,Orphan Department,797.0,Joseph Serrano,2023-10-12,,F,,,
21.0,,Orphan Department,807.0,Linda Hampton,2020-03-12,,M,,,
24.0,,Orphan Department,813.0,Kimberly Richards,2025-07-27,,,,,
23.0,,Orphan Department,823.0,Russell Wilson,2024-10-18,,F,,,
24.0,,Orphan Department,832.0,Brian Fernandez,2016-11-09,,,,,
22.0,,Orphan Department,833.0,Eric Robinson,2023-07-05,,M,,,
21.0,,Orphan Department,837.0,Cathy Bell,2023-07-07,,M,,,
24.0,,Orphan Department,840.0,Caleb Gallagher,2019-03-26,,,,,
13.0,,Orphan Department,847.0,Michael Jacobs,2025-05-04,,M,,,
24.0,,Orphan Department,848.0,William Martinez,2024-03-26,,,,,
22.0,,Orphan Department,851.0,Michael Butler,2023-10-10,,M,,,
13.0,,Orphan Department,853.0,Bradley Gutierrez,2021-09-04,2024-10-08,,,,
21.0,,Orphan Department,856.0,Nichole Butler,2020-02-11,,,,,
22.0,,Orphan Department,862.0,Donald Daniels,2017-02-17,,,,,
21.0,,Orphan Department,865.0,Robert Haas,2024-06-24,,M,,,
25.0,,Orphan Department,871.0,Jennifer Ramirez,2025-04-15,,M,,,
25.0,,Orphan Department,875.0,Luke Jarvis,2019-04-02,,F,,,
13.0,,Orphan Department,876.0,Dawn Mccarthy MD,2023-05-26,,M,,,
23.0,,Orphan Department,879.0,Nathan Russo,2017-04-22,,M,,,
23.0,,Orphan Department,880.0,James Snyder,2025-09-20,,F,,,
22.0,,Orphan Department,885.0,Todd Hall,2023-12-24,,F,,,
25.0,,Orphan Department,886.0,Richard Evans,2018-10-05,,M,,,
25.0,,Orphan Department,892.0,Audrey Dawson,2019-02-26,,F,,,
22.0,,Orphan Department,896.0,Alejandra Gonzalez,2021-11-16,,,,,
13.0,,Orphan Department,898.0,Stephanie Lee,2023-12-19,,F,,,
23.0,,Orphan Department,903.0,Erika Ramirez,2026-05-17,,M,,,
24.0,,Orphan Department,904.0,Hannah Brown,2021-10-14,,M,,,
22.0,,Orphan Department,912.0,Nicholas Pierce,2023-02-25,,M,,,
21.0,,Orphan Department,917.0,Kristen Gonzalez,2026-04-18,,M,,,
25.0,,Orphan Department,923.0,Marilyn Patterson,2019-06-07,,,,,
22.0,,Orphan Department,928.0,Walter Wood,2016-10-06,,,,,
21.0,,Orphan Department,929.0,Barbara Castillo,2020-08-05,,F,,,
21.0,,Orphan Department,931.0,Tamara Thomas,2024-10-03,,F,,,
23.0,,Orphan Department,934.0,Julie Bruce,2020-09-17,,F,,,
22.0,,Orphan Department,936.0,Jacob Kemp PhD,2017-03-17,2019-04-21,M,,,
22.0,,Orphan Department,939.0,Kimberly Walker,2016-11-16,,M,,,
22.0,,Orphan Department,940.0,Karen Mckinney,2020-10-26,,,,,
23.0,,Orphan Department,943.0,Elizabeth Turner,2018-11-03,,M,,,
24.0,,Orphan Department,948.0,Dustin Thompson,2026-01-29,,F,,,
13.0,,Orphan Department,951.0,Christine Gardner,2017-03-18,,F,,,
13.0,,Orphan Department,954.0,Traci Abbott,2020-02-03,,M,,,
24.0,,Orphan Department,958.0,Joshua Deleon,2022-09-02,,M,,,
25.0,,Orphan Department,959.0,Katie Williams,2018-06-15,,F,,,
22.0,,Orphan Department,966.0,Tammy Cross,2020-05-27,,,,,
25.0,,Orphan Department,967.0,Michele Jones,2020-01-21,,M,,,
21.0,,Orphan Department,971.0,Melanie Alvarez,2019-05-05,,F,,,
25.0,,Orphan Department,973.0,Jeremy Little,2025-11-29,,F,,,
21.0,,Orphan Department,974.0,Jeffery Moore,2023-06-18,,M,,,
24.0,,Orphan Department,979.0,Luis Benson,2018-07-01,,F,,,
23.0,,Orphan Department,982.0,Brittany Turner,2021-04-28,,M,,,
24.0,,Orphan Department,986.0,Amy Smith,2021-01-30,,,,,
22.0,,Orphan Department,996.0,Brad Mclaughlin,2023-01-10,,,,,
23.0,,Orphan Department,1002.0,Ryan Munoz,2019-05-01,2022-12-13,F,,,
13.0,,Orphan Department,1009.0,Joseph Mendoza,2025-03-27,,F,,,
24.0,,Orphan Department,1014.0,Dr. Michael Phillips DVM,2017-07-29,,M,,,
23.0,,Orphan Department,1016.0,Judy Johnson,2024-03-22,,,,,
23.0,,Orphan Department,1018.0,Olivia Andrews,2026-01-03,,M,,,
25.0,,Orphan Department,1027.0,Phyllis Gonzales,2020-12-26,,M,,,
13.0,,Orphan Department,1030.0,Ashley Alvarado,2023-01-11,,F,,,
13.0,,Orphan Department,1033.0,Richard Rodriguez,2019-12-08,,M,,,
22.0,,Orphan Department,1041.0,Margaret Cox,2019-03-04,,,,,
24.0,,Orphan Department,1043.0,Kristine Flores,2020-06-12,,M,,,
21.0,,Orphan Department,1044.0,Kelly Baker,2020-07-24,,F,,,
22.0,,Orphan Department,1045.0,Adam Delacruz,2022-11-15,,M,,,
23.0,,Orphan Department,1046.0,Timothy Parker,2022-01-04,,F,,,
24.0,,Orphan Department,1049.0,Toni Thornton,2018-05-10,,,,,
22.0,,Orphan Department,1054.0,Brenda Combs,2023-09-21,,M,,,
23.0,,Orphan Department,1061.0,Monica Macias,2016-06-11,,M,,,
23.0,,Orphan Department,1065.0,Mark Russell,2025-08-02,,,,,
21.0,,Orphan Department,1067.0,Mark Schneider,2018-02-01,2021-03-12,M,,,
25.0,,Orphan Department,1071.0,Taylor Thompson,2025-08-14,,F,,,
23.0,,Orphan Department,1074.0,Nicole Martinez,2018-10-11,2022-05-17,,,,
25.0,,Orphan Department,1076.0,Susan Washington,2023-06-24,,M,,,
13.0,,Orphan Department,1078.0,Matthew Mitchell,2022-02-18,,F,,,
23.0,,Orphan Department,1082.0,Lauren Jordan,2019-05-01,,F,,,
22.0,,Orphan Department,1085.0,Christina Jackson,2020-02-15,,F,,,
22.0,,Orphan Department,1086.0,Tracy Burns,2018-03-26,,M,,,
22.0,,Orphan Department,1087.0,Todd Frank,2021-11-22,,,,,
23.0,,Orphan Department,1094.0,Jacob Rogers,2021-12-09,2024-02-05,,,,
,,Duplicate Attendance,363.0,,,,,32.0,2026-04-14 14:05:26.438447,3.0
,,Duplicate Attendance,707.0,,,,,10.0,2026-04-10 14:05:26.439020,4.0
,,Duplicate Attendance,719.0,,,,,164.0,2025-06-29 14:05:26.439190,6.0
,,Duplicate Attendance,423.0,,,,,52.0,2026-01-27 14:05:26.439195,2.0
,,Duplicate Attendance,853.0,,,,,183.0,2026-04-26 14:05:26.439273,9.0
,,Duplicate Attendance,71.0,,,,,110.0,2025-08-01 14:05:26.439281,6.0
,,Duplicate Attendance,72.0,,,,,198.0,2026-04-14 14:05:26.439568,9.0
,,Duplicate Attendance,509.0,,,,,24.0,2025-09-01 14:05:26.441742,9.0
,,Duplicate Attendance,820.0,,,,,30.0,2025-08-06 14:05:26.442012,2.0
,,Duplicate Attendance,400.0,,,,,145.0,2025-10-31 14:05:26.442192,0.0
,,Duplicate Attendance,797.0,,,,,71.0,2026-04-16 14:05:26.442277,0.0
,,Duplicate Attendance,43.0,,,,,40.0,2025-08-16 14:05:26.442325,9.0
,,Duplicate Attendance,49.0,,,,,171.0,2025-08-17 14:05:26.442456,6.0
,,Duplicate Attendance,82.0,,,,,161.0,2025-10-05 14:05:26.442558,1.0
,,Duplicate Attendance,323.0,,,,,129.0,2025-08-19 14:05:26.442789,6.0
,,Duplicate Attendance,150.0,,,,,26.0,2025-12-14 14:05:26.442885,0.0
,,Duplicate Attendance,401.0,,,,,168.0,2026-03-07 14:05:26.442892,0.0
,,Duplicate Attendance,1123.0,,,,,123.0,2026-03-06 14:05:26.443156,1.0
,,Duplicate Attendance,439.0,,,,,161.0,2026-03-23 14:05:26.443339,8.0
,,Duplicate Attendance,517.0,,,,,32.0,2025-06-25 14:05:26.444288,8.0
,,Duplicate Attendance,998.0,,,,,147.0,2025-12-03 14:05:26.444836,4.0
,,Duplicate Attendance,177.0,,,,,161.0,2025-12-24 14:05:26.444840,4.0
,,Duplicate Attendance,173.0,,,,,57.0,2026-04-14 14:05:26.445002,0.0
,,Duplicate Attendance,1188.0,,,,,37.0,2025-11-16 14:05:26.445104,6.0
,,Duplicate Attendance,361.0,,,,,16.0,2025-12-11 14:05:26.445200,1.0
,,Duplicate Attendance,105.0,,,,,42.0,2026-04-06 14:05:26.445271,7.0
,,Duplicate Attendance,811.0,,,,,119.0,2026-02-14 14:05:26.445339,8.0
,,Duplicate Attendance,860.0,,,,,58.0,2025-10-18 14:05:26.445492,8.0
,,Duplicate Attendance,201.0,,,,,199.0,2026-03-19 14:05:26.445896,5.0
,,Duplicate Attendance,440.0,,,,,195.0,2025-10-20 14:05:26.446071,9.0
,,Duplicate Attendance,114.0,,,,,43.0,2025-12-18 14:05:26.446076,5.0
,,Duplicate Attendance,255.0,,,,,50.0,2026-02-02 14:05:26.446284,3.0
,,Duplicate Attendance,501.0,,,,,58.0,2025-09-22 14:05:26.446358,6.0
,,Duplicate Attendance,153.0,,,,,96.0,2026-02-24 14:05:26.446532,10.0
,,Duplicate Attendance,978.0,,,,,153.0,2026-02-26 14:05:26.446964,0.0
,,Duplicate Attendance,628.0,,,,,71.0,2026-04-30 14:05:26.446973,8.0
,,Duplicate Attendance,352.0,,,,,36.0,2025-11-07 14:05:26.447373,7.0
,,Duplicate Attendance,401.0,,,,,124.0,2026-04-05 14:05:26.447447,6.0
,,Duplicate Attendance,997.0,,,,,103.0,2026-01-17 14:05:26.447544,5.0
,,Duplicate Attendance,468.0,,,,,104.0,2025-06-30 14:05:26.447640,6.0
,,Duplicate Attendance,706.0,,,,,16.0,2026-03-16 14:05:26.447874,9.0
,,Duplicate Attendance,334.0,,,,,26.0,2025-11-08 14:05:26.448099,8.0
,,Duplicate Attendance,153.0,,,,,1.0,2025-07-12 14:05:26.448259,1.0
,,Duplicate Attendance,411.0,,,,,70.0,2025-11-15 14:05:26.448298,8.0
,,Duplicate Attendance,1101.0,,,,,76.0,2025-12-08 14:05:26.448625,4.0
